bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
Hatchback,5,18835,2021,Petrol,1,Manual,411000,Zero Dep,796,Maruti,5,22.05,FWD,Bangalore,Maruti Alto 800
SUV,7,120000,2010,Diesel,2,Manual,650000,Third Party,2179,Mahindra,5,12.05,RWD,Bangalore,Mahindra Scorpio
Hatchback,4,40000,2016,Petrol,1,Automatic,3675000,Comprehensive,1998,Mini,7,17.33,RWD,Bangalore,Mini 3 DOOR
Hatchback,5,60932,2019,Petrol,1,Manual,610000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
SUV,5,33539,2020,Petrol,2,Automatic,1675000,Comprehensive,1353,Kia,7,16.5,FWD,Bangalore,Kia Seltos
Hatchback,5,66837,2018,Petrol,2,Manual,530000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Sedan,5,400,2022,Diesel,1,Automatic,7990000,Third Party,2925,Mercedes-Benz,9,18.9,FWD,Bangalore,Mercedes-Benz E-Class
Hatchback,5,60000,2008,Petrol,2,Manual,250000,Third Party,796,Maruti,5,19.7,FWD,Bangalore,Maruti Alto
Hatchback,5,44285,2019,Petrol,1,Manual,715000,Third Party,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,7,100000,2014,Diesel,2,Automatic,3500000,Third Party,2987,Mercedes-Benz,7,11.3,AWD,Bangalore,Mercedes-Benz GL-Class
SUV,6,25000,2021,Diesel,1,Automatic,2250000,Comprehensive,1956,Tata,6,14.08,FWD,Bangalore,Tata New Safari
Hatchback,5,36735,2018,Petrol,1,Manual,625000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
SUV,7,79000,2015,Diesel,1,Automatic,2695000,Comprehensive,2967,Audi,8,12.07,AWD,Bangalore,Audi Q7
SUV,8,120000,2010,Diesel,2,Manual,650000,Third Party,2179,Mahindra,5,12.05,FWD,Bangalore,Mahindra Scorpio
Hatchback,5,10000,2022,Petrol,1,Automatic,550000,Third Party,999,Renault,5,22.0,FWD,Bangalore,Renault KWID
SUV,5,53645,2018,Diesel,1,Manual,825000,Comprehensive,1497,Tata,6,21.5,FWD,Bangalore,Tata Nexon
Hatchback,5,100000,2006,Petrol,2,Manual,220000,Third Party,1341,Hyundai,5,15.3,FWD,Bangalore,Hyundai Getz
Hatchback,5,53982,2014,Petrol,1,Automatic,428000,Comprehensive,998,Maruti,5,26.68,FWD,Bangalore,Maruti Celerio
Sedan,5,110000,2014,Diesel,1,Manual,695000,Third Party,1498,Skoda,5,21.14,FWD,Bangalore,Skoda Rapid
SUV,5,37741,2019,Petrol,2,Manual,930000,Third Party,1496,Ford,5,15.9,FWD,Bangalore,Ford Ecosport
Hatchback,5,17367,2021,Petrol,1,Manual,455000,Comprehensive,796,Maruti,5,22.05,FWD,Bangalore,Maruti Alto 800
SUV,5,94000,2017,Diesel,1,Manual,1195000,Comprehensive,1582,Hyundai,6,19.67,FWD,Bangalore,Hyundai Creta
SUV,5,33700,2021,Diesel,1,Automatic,2175000,Comprehensive,1956,Tata,6,14.6,FWD,Bangalore,Tata Harrier
Hatchback,5,54601,2014,Petrol,3,Manual,442000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,110000,2018,Diesel,1,Manual,690000,Third Party,1248,Maruti,5,28.4,FWD,Bangalore,Maruti Swift
Hatchback,5,64000,2017,Petrol,2,Manual,500000,Third Party,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
Sedan,5,40525,2016,Diesel,1,Automatic,3395000,Comprehensive,1995,BMW,8,21.76,RWD,Bangalore,BMW 3 Series GT
Sedan,5,100000,2015,Diesel,1,Manual,650000,Third Party,1248,Maruti,5,26.21,FWD,Bangalore,Maruti Ciaz
Hatchback,5,44154,2016,Petrol,2,Automatic,537000,Comprehensive,1199,Honda,5,19.0,FWD,Bangalore,Honda Jazz
MUV,7,70000,2016,Diesel,1,Manual,750000,Third Party,1461,Renault,6,19.98,FWD,Bangalore,Renault Lodgy
Sedan,5,79000,2018,Petrol,1,Automatic,1789999,Comprehensive,1798,Skoda,7,15.1,FWD,Bangalore,Skoda Octavia
Hatchback,5,68039,2017,Petrol,2,Manual,468000,Third Party,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Hatchback,5,60000,2014,Petrol,2,Manual,420000,Third Party,1197,Maruti,5,18.5,FWD,Bangalore,Maruti Ritz
Hatchback,5,10000,2021,Petrol,1,Manual,919999,Third Party,998,Hyundai,6,20.0,FWD,Bangalore,Hyundai i20
Sedan,5,49873,2013,Petrol,1,Manual,533000,Third Party,1497,Honda,5,16.8,FWD,Bangalore,Honda City
Hatchback,5,90000,2013,Petrol,3,Automatic,850000,Third Party,1197,Volkswagen,7,17.2,FWD,Bangalore,Volkswagen Polo
Sedan,5,48960,2017,Diesel,2,Manual,751000,Third Party,1498,Skoda,5,21.13,FWD,Bangalore,Skoda Rapid
Hatchback,5,70000,2014,Diesel,2,Manual,388000,Third Party,1120,Hyundai,5,24.0,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,68000,2013,Petrol,2,Manual,490000,Comprehensive,1197,Hyundai,5,18.5,FWD,Bangalore,Hyundai i20
SUV,6,23017,2016,Diesel,1,Manual,494000,Third Party,1198,Mahindra,5,25.32,FWD,Bangalore,Mahindra KUV 100
Hatchback,5,83000,2013,Diesel,2,Manual,525000,Comprehensive,1396,Hyundai,6,21.27,FWD,Bangalore,Hyundai i20
SUV,5,92000,2016,Diesel,2,Automatic,2890000,Comprehensive,1995,BMW,8,16.55,4WD,Bangalore,BMW X3
Hatchback,5,62139,2018,Petrol,1,Manual,550000,Comprehensive,998,Maruti,5,20.51,FWD,Bangalore,Maruti Wagon R
Hatchback,5,74000,2013,LPG,1,Manual,365000,Comprehensive,1086,Hyundai,5,19.2,FWD,Bangalore,Hyundai i10
Hatchback,5,26500,2016,Petrol,2,Automatic,420000,Comprehensive,999,Renault,5,24.04,FWD,Bangalore,Renault KWID
Sedan,5,81716,2017,Diesel,1,Automatic,1895000,Comprehensive,1969,Volvo,8,27.03,FWD,Bangalore,Volvo S60
Sedan,5,24000,2018,Diesel,2,Automatic,5990000,Comprehensive,2987,Mercedes-Benz,9,17.0,RWD,Bangalore,Mercedes-Benz E-Class
SUV,5,10000,2022,Petrol,1,Automatic,1050000,Third Party,1197,Mahindra,6,17.0,FWD,Bangalore,Mahindra XUV300
SUV,6,18000,2021,Petrol,1,Automatic,2075000,Comprehensive,1451,MG,6,16.56,FWD,Bangalore,MG Hector Plus
Hatchback,5,38197,2013,Petrol,1,Manual,394000,Third Party,1198,Honda,5,19.4,FWD,Bangalore,Honda Brio
Hatchback,5,23000,2017,Petrol,2,Automatic,725000,Comprehensive,1197,Maruti,5,19.56,FWD,Bangalore,Maruti Baleno
Hatchback,5,50000,2013,Petrol,1,Manual,240000,Third Party,998,Maruti,5,20.92,FWD,Bangalore,Maruti Alto K10
SUV,5,10000,2022,Petrol,1,Automatic,835000,Third Party,999,Renault,5,19.03,FWD,Bangalore,Renault Kiger
Hatchback,5,19000,2019,Petrol,1,Manual,695000,Third Party,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
SUV,5,14000,2020,Petrol,1,Automatic,1725000,Comprehensive,1353,Kia,7,16.5,FWD,Bangalore,Kia Seltos
Hatchback,5,29268,2014,Petrol,1,Manual,330000,Comprehensive,814,Hyundai,5,21.1,FWD,Bangalore,Hyundai EON
Sedan,5,20000,2019,Petrol,1,Automatic,990000,Third Party,1197,Volkswagen,7,18.19,FWD,Bangalore,Volkswagen Vento
Sedan,5,30000,2018,Petrol,1,Manual,750000,Third Party,1496,Toyota,6,17.1,FWD,Bangalore,Toyota Yaris
Hatchback,5,64374,2018,Petrol,1,Automatic,755000,Third Party,1199,Honda,5,19.0,FWD,Bangalore,Honda Jazz
SUV,5,30000,2021,Diesel,1,Manual,1750000,Third Party,1956,MG,6,17.41,FWD,Bangalore,MG Hector
SUV,6,7100,2022,Petrol,1,Automatic,2082999,Comprehensive,1999,Hyundai,6,14.2,FWD,Bangalore,Hyundai Alcazar
Hatchback,5,43679,2010,Petrol,1,Manual,271000,Comprehensive,1086,Hyundai,5,19.81,FWD,Bangalore,Hyundai i10
SUV,5,40000,2018,Petrol,1,Automatic,1280000,Third Party,1591,Hyundai,6,14.8,FWD,Bangalore,Hyundai Creta
Hatchback,5,40562,2012,Diesel,1,Manual,436000,Third Party,1396,Hyundai,6,22.54,FWD,Bangalore,Hyundai i20
SUV,5,26500,2021,Petrol,2,Automatic,1675000,Comprehensive,1397,Hyundai,7,18.9,FWD,Bangalore,Hyundai Creta
SUV,5,20000,2019,Petrol,1,Automatic,1250000,Third Party,998,Hyundai,7,18.15,FWD,Bangalore,Hyundai Venue
SUV,7,58600,2016,Diesel,1,Automatic,1350000,Third Party,2179,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
SUV,5,42050,2020,Petrol,1,Automatic,2225000,Comprehensive,1498,Volkswagen,7,18.4,FWD,Bangalore,Volkswagen T-Roc
Hatchback,5,65017,2015,Petrol,1,Automatic,475000,Comprehensive,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
Sedan,5,80000,2008,Diesel,2,Automatic,600000,Third Party,1995,BMW,6,13.2,FWD,Bangalore,BMW 3 Series
SUV,5,30000,2021,Petrol,1,Automatic,2450000,Third Party,1368,Jeep,7,14.1,4WD,Bangalore,Jeep Compass
SUV,5,20000,2020,Petrol,1,Automatic,1625000,Third Party,1353,Kia,7,16.5,FWD,Bangalore,Kia Seltos
Sedan,5,36349,2014,Diesel,1,Automatic,1650000,Third Party,1968,Skoda,6,17.2,FWD,Bangalore,Skoda Superb
Hatchback,5,80000,2009,Petrol,3,Manual,249000,Third Party,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
SUV,5,83394,2014,Petrol,2,Manual,630000,Third Party,1598,Renault,5,13.24,FWD,Bangalore,Renault Duster
SUV,5,30000,2016,Diesel,2,Automatic,2599000,Third Party,1968,Audi,7,14.16,AWD,Bangalore,Audi Q5
