bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city,model
SUV,5,47936,2019,Petrol,1,Automatic,848000,Comprehensive,1498,Renault,5,14.99,FWD,Bangalore,Renault Duster
SUV,6,10000,1995,Petrol,3,Manual,400000,Third Party,1248,Maruti,5,18.9,FWD,Bangalore,Maruti Gypsy
Sedan,5,70000,2008,Diesel,2,Automatic,575000,Third Party,2496,Skoda,5,11.9,FWD,Bangalore,Skoda Superb
Sedan,5,110000,2013,Petrol,5,Manual,400000,Third Party,1497,Honda,5,16.8,FWD,Bangalore,Honda City
SUV,8,10000,1995,Petrol,3,Manual,400000,Third Party,1248,Maruti,5,18.9,FWD,Bangalore,Maruti Gypsy
SUV,5,45000,2016,Petrol,2,Manual,894999,Comprehensive,1591,Hyundai,6,15.29,FWD,Bangalore,Hyundai Creta
SUV,5,20469,2019,Petrol,1,Manual,1099000,Third Party,998,Hyundai,6,18.27,FWD,Bangalore,Hyundai Venue
Hatchback,5,60000,2011,Petrol,1,Manual,425000,Third Party,1197,Hyundai,5,17.0,FWD,Bangalore,Hyundai i20
Sedan,5,70000,2012,Petrol,2,Manual,445000,Comprehensive,1197,Maruti,5,19.1,FWD,Bangalore,Maruti Swift Dzire
Sedan,5,150000,2014,Diesel,4,Manual,320000,Third Party,1598,Skoda,5,20.5,FWD,Bangalore,Skoda Rapid
Sedan,5,46258,2017,Petrol,2,Manual,775000,Third Party,1598,Volkswagen,5,16.09,FWD,Bangalore,Volkswagen Vento
Hatchback,5,54242,2013,Petrol,3,Manual,327000,Comprehensive,998,Maruti,5,18.9,FWD,Bangalore,Maruti Wagon R
Hatchback,5,90727,2017,Petrol,1,Automatic,661000,Comprehensive,1199,Honda,5,19.0,FWD,Bangalore,Honda Jazz
SUV,7,100000,2012,Diesel,1,Manual,775000,Comprehensive,2179,Mahindra,6,15.1,FWD,Bangalore,Mahindra XUV500
Sedan,5,31003,2017,Petrol,1,Manual,682000,Comprehensive,1197,Maruti,5,21.21,FWD,Bangalore,Maruti Swift Dzire
Hatchback,5,24233,2017,Petrol,1,Manual,577000,Third Party,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,90000,2015,Petrol,3,Manual,500000,Third Party,1198,Volkswagen,5,16.47,FWD,Bangalore,Volkswagen Polo
Hatchback,5,36983,2017,Petrol,1,Manual,679000,Comprehensive,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Hatchback,5,68915,2014,Diesel,1,Automatic,1445000,Comprehensive,2143,Mercedes-Benz,7,14.8,FWD,Bangalore,Mercedes-Benz B Class
Hatchback,5,5440,2021,Petrol,1,Manual,776000,Third Party,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,8096,2021,Petrol,1,Manual,690000,Zero Dep,1199,Tata,5,20.09,FWD,Bangalore,Tata Tiago
Sedan,5,120000,2012,Diesel,2,Manual,380000,Third Party,1598,Skoda,5,20.5,FWD,Bangalore,Skoda Rapid
SUV,5,60000,2014,Petrol,3,Manual,560000,Third Party,1598,Renault,5,13.24,FWD,Bangalore,Renault Duster
SUV,7,120000,2017,Diesel,1,Manual,1125000,Third Party,2179,Tata,5,14.1,RWD,Bangalore,Tata Safari Storme
MUV,7,125903,2015,Diesel,2,Manual,515000,Comprehensive,1461,Renault,6,19.98,FWD,Bangalore,Renault Lodgy
Hatchback,5,33040,2018,Petrol,2,Manual,799000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,7,110000,2009,Diesel,2,Manual,1200000,Third Party,2982,Toyota,5,11.5,4WD,Bangalore,Toyota Fortuner
Hatchback,5,30722,2019,Diesel,1,Manual,835000,Third Party,1396,Hyundai,6,22.54,FWD,Bangalore,Hyundai i20
Sedan,5,80000,2016,Diesel,1,Manual,750000,Third Party,1498,Honda,6,26.0,FWD,Bangalore,Honda City
SUV,7,120000,2009,Diesel,2,Manual,1275000,Third Party,2982,Toyota,5,11.5,4WD,Bangalore,Toyota Fortuner
Sedan,5,33000,2017,Diesel,2,Automatic,3075000,Comprehensive,2143,Mercedes-Benz,5,14.21,RWD,Bangalore,Mercedes-Benz E-Class
Sedan,5,58778,2014,Petrol,1,Manual,527000,Comprehensive,1497,Honda,5,17.4,FWD,Bangalore,Honda City
Hatchback,5,51395,2019,Petrol,1,Manual,426000,Comprehensive,998,Maruti,5,21.7,FWD,Bangalore,Maruti S-Presso
SUV,5,100000,2015,Petrol,2,Automatic,625000,Comprehensive,1496,Ford,6,14.7,FWD,Bangalore,Ford Ecosport
Sedan,5,65881,2013,Petrol,2,Manual,447000,Comprehensive,1197,Maruti,5,22.41,FWD,Bangalore,Maruti Swift Dzire
Hatchback,5,49934,2014,Petrol,2,Manual,552000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Sedan,5,91000,2016,Diesel,2,Manual,795000,Comprehensive,1498,Honda,6,26.0,FWD,Bangalore,Honda City
Hatchback,5,61576,2018,Petrol,2,Manual,459000,Comprehensive,998,Maruti,5,21.63,FWD,Bangalore,Maruti Celerio X
Sedan,5,114321,2016,Petrol,2,Manual,700000,Third Party,1373,Maruti,5,20.73,FWD,Bangalore,Maruti Ciaz
Hatchback,5,53125,2019,Petrol,1,Manual,405000,Third Party,998,Maruti,5,21.7,FWD,Bangalore,Maruti S-Presso
Hatchback,5,36462,2020,Petrol,1,Automatic,536000,Comprehensive,999,Renault,5,22.0,FWD,Bangalore,Renault KWID
SUV,5,97542,2014,Diesel,1,Automatic,2400000,Comprehensive,2143,Mercedes-Benz,7,15.26,AWD,Bangalore,Mercedes-Benz M-Class
SUV,5,89000,2017,Diesel,1,Automatic,4745000,Comprehensive,2987,Mercedes-Benz,9,11.57,AWD,Bangalore,Mercedes-Benz GLE
SUV,5,13000,2018,Petrol,2,Manual,894999,Comprehensive,1498,Renault,5,14.99,FWD,Bangalore,Renault Duster
Sedan,5,41000,2018,Diesel,1,Manual,1375000,Third Party,1582,Hyundai,6,22.0,FWD,Bangalore,Hyundai Verna
Hatchback,5,94471,2017,Petrol,1,Automatic,880000,Third Party,1197,Volkswagen,7,17.21,FWD,Bangalore,Volkswagen Polo
MUV,7,58000,2011,Diesel,1,Manual,1030000,Comprehensive,2494,Toyota,5,12.8,FWD,Bangalore,Toyota Innova
Hatchback,5,46000,2016,Petrol,1,Manual,475000,Comprehensive,1197,Maruti,5,20.52,FWD,Bangalore,Maruti Wagon R
SUV,5,10000,2022,Petrol,1,Manual,1150000,Third Party,1498,MG,5,18.9,FWD,Bangalore,MG Astor
SUV,5,36531,2020,Diesel,1,Automatic,5675000,Comprehensive,1950,Mercedes-Benz,9,18.9,AWD,Bangalore,Mercedes-Benz GLC
SUV,5,50000,2021,Petrol,1,Manual,960000,Third Party,1462,Toyota,5,17.03,FWD,Bangalore,Toyota Urban cruiser
Hatchback,5,36004,2020,Petrol,2,Manual,532000,Third Party,998,Maruti,5,21.63,FWD,Bangalore,Maruti Celerio
Sedan,5,58808,2016,Petrol,2,Manual,651000,Comprehensive,1497,Honda,5,17.8,FWD,Bangalore,Honda City
Sedan,5,10000,2017,Diesel,1,Automatic,3200000,Third Party,2143,Mercedes-Benz,7,19.27,RWD,Bangalore,Mercedes-Benz C-Class
Hatchback,5,31983,2016,Petrol,1,Manual,715000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,5,78536,2016,Diesel,1,Manual,740000,Third Party,1248,Maruti,5,24.3,FWD,Bangalore,Maruti Vitara Brezza
SUV,5,20000,2022,Diesel,1,Manual,1700000,Third Party,1493,Kia,6,20.8,FWD,Bangalore,Kia Seltos
Sedan,5,54134,2013,Petrol,2,Manual,455000,Comprehensive,1197,Maruti,5,22.41,FWD,Bangalore,Maruti Swift Dzire
SUV,5,10000,2021,Petrol,1,Automatic,1698999,Third Party,1497,Kia,6,16.8,RWD,Bangalore,Kia Seltos
Hatchback,5,27227,2019,Petrol,2,Manual,524000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
SUV,5,25508,2019,Petrol,1,Automatic,1764999,Comprehensive,1368,Jeep,7,16.0,4WD,Bangalore,Jeep Compass
Hatchback,5,30000,2017,Petrol,1,Manual,525000,Third Party,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,5,20000,2019,Petrol,1,Automatic,1600000,Third Party,1353,Kia,7,16.5,FWD,Bangalore,Kia Seltos
Sedan,5,100000,2012,Diesel,2,Manual,360000,Third Party,1598,Volkswagen,5,20.54,FWD,Bangalore,Volkswagen Vento
SUV,4,20000,2021,Petrol,1,Automatic,1650000,Third Party,1997,Mahindra,6,18.9,4WD,Bangalore,Mahindra Thar
Hatchback,5,50000,2011,Petrol,1,Manual,409999,Third Party,1197,Hyundai,5,17.0,FWD,Bangalore,Hyundai i20
Sedan,5,36000,2018,Diesel,1,Automatic,3150000,Comprehensive,2143,Mercedes-Benz,7,17.9,FWD,Bangalore,Mercedes-Benz CLA
Hatchback,5,40000,2019,Diesel,1,Manual,850000,Third Party,1396,Hyundai,6,22.54,FWD,Bangalore,Hyundai i20
SUV,5,19047,2021,Petrol,1,Automatic,1260000,Third Party,998,Hyundai,7,18.15,FWD,Bangalore,Hyundai Venue
SUV,5,50000,2020,Petrol,1,Manual,850000,Third Party,1198,Tata,6,17.0,FWD,Bangalore,Tata Nexon
Hatchback,5,64453,2018,Petrol,1,Automatic,493000,Comprehensive,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
Hatchback,5,43387,2018,Petrol,1,Manual,505000,Comprehensive,1198,Honda,5,18.5,FWD,Bangalore,Honda Brio
Hatchback,5,36538,2020,Petrol,1,Automatic,825000,Third Party,1197,Maruti,5,19.56,FWD,Bangalore,Maruti Baleno
Hatchback,5,36787,2017,Petrol,2,Manual,682000,Zero Dep,1197,Hyundai,5,17.19,FWD,Bangalore,Hyundai i20 Active
Hatchback,5,32112,2018,Petrol,2,Manual,486000,Comprehensive,998,Maruti,5,25.24,FWD,Bangalore,Maruti Celerio
SUV,5,30000,2022,Petrol,1,Manual,1800000,Third Party,1497,Hyundai,6,18.9,FWD,Bangalore,Hyundai Creta
Hatchback,5,53701,2017,Petrol,1,Manual,540000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,30000,2018,Petrol,2,Manual,530000,Third Party,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,26085,2020,Petrol,2,Manual,407000,Zero Dep,796,Maruti,5,22.05,FWD,Bangalore,Maruti Alto 800
Hatchback,5,46894,2016,Petrol,3,Manual,453000,Third Party,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
SUV,5,30000,2021,Petrol,1,Manual,1010000,Third Party,998,Kia,6,18.2,FWD,Bangalore,Kia Sonet
SUV,5,53692,2017,Petrol,2,Automatic,1675000,Third Party,2354,Honda,5,12.0,4WD,Bangalore,Honda CR-V
SUV,7,37809,2018,Diesel,2,Automatic,1645000,Comprehensive,2179,Mahindra,6,15.1,FWD,Bangalore,Mahindra XUV500
Hatchback,5,33000,2018,Petrol,1,Automatic,625000,Comprehensive,1199,Tata,5,23.84,FWD,Bangalore,Tata Tiago
Hatchback,5,30813,2022,Petrol,1,Manual,635000,Comprehensive,1197,Maruti,5,20.52,FWD,Bangalore,Maruti Wagon R
Sedan,5,56254,2013,Diesel,1,Manual,550000,Comprehensive,1582,Hyundai,6,23.9,FWD,Bangalore,Hyundai Verna
Sedan,5,58000,2017,Diesel,1,Automatic,2450000,Comprehensive,2143,Mercedes-Benz,7,17.9,FWD,Bangalore,Mercedes-Benz CLA
Sedan,5,15727,2020,Petrol,2,Automatic,1025000,Third Party,1462,Maruti,4,20.04,FWD,Bangalore,Maruti Ciaz
Hatchback,4,20000,2017,Electric,1,Automatic,550000,Third Party,1248,Mahindra,5,110.0,FWD,Bangalore,Mahindra e2o Plus
Hatchback,4,150,2023,Electric,1,Automatic,950000,Third Party,0,MG,5,18.9,FWD,Bangalore,MG Comet EV
Hatchback,5,21113,2021,Petrol,1,Manual,977000,Comprehensive,998,Hyundai,6,20.0,FWD,Bangalore,Hyundai i20
Sedan,5,71775,2021,Diesel,1,Manual,1705000,Comprehensive,1493,Hyundai,6,14.59,FWD,Bangalore,Hyundai Elantra
Hatchback,5,59882,2018,Petrol,1,Automatic,667000,Third Party,1197,Maruti,5,22.56,FWD,Bangalore,Maruti Swift
Hatchback,5,24463,2014,Petrol,2,Automatic,494000,Comprehensive,1197,Hyundai,4,18.9,FWD,Bangalore,Hyundai Grand i10
Sedan,5,72352,2015,Petrol,1,Manual,636000,Zero Dep,1497,Honda,5,17.4,FWD,Bangalore,Honda City
SUV,5,90928,2017,Diesel,1,Manual,792000,Comprehensive,1498,Ford,5,23.0,FWD,Bangalore,Ford Ecosport
SUV,5,10000,2021,Petrol,2,Manual,695000,Third Party,999,Nissan,5,20.0,FWD,Bangalore,Nissan Magnite
Hatchback,5,60000,2014,Petrol,2,Manual,360000,Third Party,1196,Ford,5,15.6,FWD,Bangalore,Ford Figo
Minivans,5,80000,1998,Petrol,5,Manual,58000,Third Party,796,Maruti,4,14.0,FWD,Bangalore,Maruti Omni
SUV,5,117530,2016,Diesel,1,Manual,827000,Comprehensive,1248,Maruti,5,24.3,FWD,Bangalore,Maruti Vitara Brezza
Hatchback,5,102814,2011,Petrol,1,Manual,382000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,20000,2021,Petrol,1,Manual,650000,Third Party,1199,Tata,5,19.01,FWD,Bangalore,Tata Tiago
Hatchback,5,34801,2017,Petrol,1,Automatic,512000,Zero Dep,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
Hatchback,5,51877,2018,Petrol,3,Manual,463000,Comprehensive,998,Maruti,5,25.24,FWD,Bangalore,Maruti Celerio
Sedan,5,10000,2023,Petrol,1,Automatic,1500000,Third Party,1497,Hyundai,6,18.45,FWD,Bangalore,Hyundai Verna
Hatchback,5,17125,2018,Petrol,2,Manual,525000,Third Party,998,Maruti,5,21.63,FWD,Bangalore,Maruti Celerio X
SUV,5,30000,2014,Diesel,1,Manual,459999,Third Party,1461,Renault,5,20.45,FWD,Bangalore,Renault Duster
Hatchback,5,50318,2016,Petrol,1,Manual,627000,Third Party,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Sedan,5,46123,2012,Petrol,1,Manual,511000,Comprehensive,1591,Hyundai,5,17.01,FWD,Bangalore,Hyundai Verna
Hatchback,5,120000,2006,Petrol,3,Manual,55000,Third Party,1341,Hyundai,5,15.3,FWD,Bangalore,Hyundai Getz
Hatchback,5,70000,2015,Diesel,2,Manual,600000,Third Party,1396,Hyundai,6,22.54,FWD,Bangalore,Hyundai i20
Sedan,5,33360,2014,Diesel,1,Automatic,1285000,Comprehensive,1968,Volkswagen,6,16.96,FWD,Bangalore,Volkswagen Jetta
SUV,5,21800,2022,Petrol,1,Automatic,3150000,Third Party,1984,Volkswagen,7,12.65,AWD,Bangalore,Volkswagen Tiguan
Hatchback,5,10000,2023,Petrol,1,Manual,750000,Third Party,1199,Tata,5,19.33,FWD,Bangalore,Tata Altroz
Hatchback,5,60000,2006,Petrol,3,Manual,130000,Third Party,1086,Hyundai,5,18.9,FWD,Bangalore,Hyundai Santro Xing
SUV,5,10000,2023,Electric,1,Automatic,1800000,Third Party,0,Tata,5,18.9,FWD,Bangalore,Tata Nexon EV Max
Hatchback,5,11045,2021,Petrol,1,Automatic,985000,Third Party,1197,Hyundai,5,19.65,FWD,Bangalore,Hyundai i20
Sedan,5,51406,2018,Diesel,1,Automatic,1044999,Third Party,1498,Volkswagen,7,22.15,FWD,Bangalore,Volkswagen Vento
Hatchback,5,70000,2012,Diesel,1,Manual,200000,Third Party,1396,Tata,5,25.0,FWD,Bangalore,Tata Indica V2
Hatchback,5,26031,2017,Petrol,1,Manual,710000,Comprehensive,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Hatchback,5,30740,2016,Petrol,1,Manual,586000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
SUV,5,20000,2022,Petrol,1,Automatic,1500000,Third Party,1498,MG,8,14.82,FWD,Bangalore,MG Astor
Hatchback,5,65909,2017,Petrol,1,Automatic,584000,Zero Dep,1197,Maruti,5,20.89,FWD,Bangalore,Maruti Ignis
Hatchback,5,140590,2013,Petrol,1,Manual,409000,Comprehensive,1197,Hyundai,5,18.5,FWD,Bangalore,Hyundai i20
MUV,7,32953,2019,Petrol,2,Automatic,2175000,Third Party,2694,Toyota,6,10.75,RWD,Bangalore,Toyota Innova Crysta
Sedan,5,51801,2019,Petrol,1,Automatic,738000,Comprehensive,1197,Maruti,5,21.21,FWD,Bangalore,Maruti Swift Dzire
Sedan,5,80000,2015,Diesel,1,Manual,380000,Third Party,1120,Hyundai,5,24.4,FWD,Bangalore,Hyundai Xcent
Hatchback,5,62621,2017,Petrol,1,Manual,656000,Zero Dep,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
Hatchback,5,79068,2014,Petrol,1,Manual,483000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,50000,2018,Petrol,1,Manual,509999,Third Party,1197,Maruti,5,22.0,FWD,Bangalore,Maruti Swift
Sedan,5,30000,2018,Diesel,2,Automatic,750000,Third Party,1498,Volkswagen,7,21.73,FWD,Bangalore,Volkswagen Ameo
Hatchback,5,72000,2008,Petrol,2,Manual,185000,Third Party,1086,Hyundai,5,19.81,FWD,Bangalore,Hyundai i10
Hatchback,5,80000,2008,Petrol,2,Manual,180000,Third Party,1086,Hyundai,5,19.81,FWD,Bangalore,Hyundai i10
MUV,8,10000,2021,Petrol,1,Manual,1900000,Third Party,2694,Toyota,5,8.0,RWD,Bangalore,Toyota Innova Crysta
SUV,5,20000,2022,Diesel,1,Automatic,2100000,Third Party,1956,Tata,6,14.6,FWD,Bangalore,Tata Harrier
SUV,7,36314,2016,Diesel,2,Automatic,1245000,Comprehensive,2179,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
Hatchback,5,67000,2010,Petrol,1,Manual,300000,Third Party,1198,Volkswagen,5,16.47,FWD,Bangalore,Volkswagen Polo
SUV,5,30000,2020,Electric,1,Automatic,1350000,Third Party,0,Tata,5,18.9,FWD,Bangalore,Tata Nexon EV Prime
SUV,5,21236,2022,Electric,1,Automatic,1450000,Comprehensive,0,Tata,5,18.9,FWD,Bangalore,Tata Nexon EV Prime
Hatchback,5,47488,2017,Petrol,2,Automatic,546000,Comprehensive,1197,Maruti,5,20.89,FWD,Bangalore,Maruti Ignis
Hatchback,5,56814,2016,Petrol,1,Manual,533000,Comprehensive,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Sedan,5,90000,2004,Petrol,1,Automatic,160000,Third Party,1493,Honda,5,14.5,FWD,Bangalore,Honda City
Hatchback,5,63206,2012,Petrol,1,Manual,332000,Comprehensive,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
Sedan,5,61103,2018,Petrol,2,Manual,809000,Comprehensive,1462,Maruti,5,21.56,FWD,Bangalore,Maruti Ciaz
Hatchback,5,70000,2008,Petrol,1,Manual,200000,Third Party,796,Maruti,5,19.7,FWD,Bangalore,Maruti Alto
Hatchback,5,112268,2015,Petrol,3,Automatic,347000,Comprehensive,998,Maruti,5,23.1,FWD,Bangalore,Maruti Celerio
Hatchback,5,70000,2006,Petrol,2,Manual,150000,Third Party,1298,Maruti,5,16.1,FWD,Bangalore,Maruti Swift
SUV,5,97346,2021,Petrol,1,Manual,1359000,Comprehensive,999,Volkswagen,6,20.08,FWD,Bangalore,Volkswagen Taigun
Hatchback,5,36977,2018,Petrol,2,Manual,543000,Comprehensive,1197,Hyundai,5,18.9,FWD,Bangalore,Hyundai Grand i10
Hatchback,5,70000,2006,Petrol,3,Manual,150000,Third Party,1298,Maruti,5,16.1,FWD,Bangalore,Maruti Swift
Hatchback,5,60000,2013,Diesel,2,Manual,475000,Third Party,1396,Hyundai,6,21.27,FWD,Bangalore,Hyundai i20
Hatchback,5,80000,2003,Petrol,2,Manual,110000,Third Party,1086,Hyundai,5,18.9,FWD,Bangalore,Hyundai Santro
Hatchback,5,35000,2016,Petrol,2,Automatic,350000,Third Party,999,Renault,5,24.04,FWD,Bangalore,Renault KWID
Hatchback,5,100000,2006,Petrol,3,Manual,135000,Third Party,1341,Hyundai,5,15.3,FWD,Bangalore,Hyundai Getz
Hatchback,5,90000,2005,Petrol,2,Manual,170000,Third Party,998,Maruti,5,18.9,FWD,Bangalore,Maruti Wagon R
SUV,5,85700,2018,Diesel,1,Automatic,2850000,Comprehensive,1995,BMW,8,20.68,FWD,Bangalore,BMW X1
Sedan,5,50000,2016,Diesel,1,Automatic,2750000,Comprehensive,2143,Mercedes-Benz,7,19.27,RWD,Bangalore,Mercedes-Benz C-Class
MUV,7,50000,2015,Diesel,2,Manual,1449000,Third Party,2494,Toyota,5,12.99,RWD,Bangalore,Toyota Innova
Hatchback,5,50000,2015,Petrol,1,Manual,300000,Third Party,998,Maruti,5,23.95,FWD,Bangalore,Maruti Alto K10
Hatchback,5,40082,2014,Petrol,2,Manual,377000,Third Party,998,Maruti,5,20.51,FWD,Bangalore,Maruti Wagon R
Sedan,5,112566,2017,Diesel,2,Automatic,638000,Comprehensive,1248,Maruti,5,28.4,FWD,Bangalore,Maruti Swift Dzire
SUV,5,68000,2020,Petrol,1,Automatic,1575000,Comprehensive,1397,Hyundai,7,18.9,FWD,Bangalore,Hyundai Creta
Hatchback,5,61978,2021,Petrol,1,Automatic,674000,Comprehensive,1197,Maruti,5,20.52,FWD,Bangalore,Maruti Wagon R
Hatchback,5,27658,2021,Petrol,1,Manual,613000,Third Party,1197,Maruti,5,20.52,FWD,Bangalore,Maruti Wagon R
SUV,5,26000,2019,Petrol,1,Manual,1145000,Comprehensive,1497,Kia,6,16.8,FWD,Bangalore,Kia Seltos
Hatchback,5,43371,2015,Petrol,2,Manual,595000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
SUV,5,120000,2014,Diesel,2,Manual,450000,Third Party,1498,Ford,5,22.7,FWD,Bangalore,Ford Ecosport
Hatchback,5,67633,2017,Petrol,1,Manual,599000,Third Party,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Hatchback,5,76794,2016,Petrol,1,Manual,625000,Third Party,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
MUV,8,120000,2011,Diesel,1,Manual,750000,Third Party,2494,Toyota,5,12.8,FWD,Bangalore,Toyota Innova
MUV,8,59577,2018,Diesel,1,Automatic,2165000,Comprehensive,2755,Toyota,6,11.36,RWD,Bangalore,Toyota Innova Crysta
Sedan,5,100000,2010,Diesel,2,Manual,445000,Third Party,1991,Chevrolet,5,18.3,FWD,Bangalore,Chevrolet Cruze
Sedan,5,100000,2004,Petrol,3,Manual,120000,Third Party,2362,Toyota,5,13.4,FWD,Bangalore,Toyota Camry
Hatchback,5,50000,2012,Petrol,2,Manual,320000,Third Party,1197,Hyundai,5,20.36,FWD,Bangalore,Hyundai i10
SUV,5,20000,2022,Diesel,1,Automatic,1350000,Third Party,1493,Kia,6,18.9,FWD,Bangalore,Kia Sonet
Hatchback,5,120000,2006,Petrol,2,Manual,165000,Third Party,796,Maruti,5,19.7,FWD,Bangalore,Maruti Alto
Hatchback,5,50000,2018,Petrol,2,Manual,525000,Third Party,1368,Fiat,5,16.3,FWD,Bangalore,Fiat Punto Abarth
SUV,5,80000,2015,Diesel,1,Manual,888000,Third Party,1582,Hyundai,6,19.67,FWD,Bangalore,Hyundai Creta
SUV,7,80000,2015,Diesel,2,Manual,575000,Comprehensive,1493,Mahindra,5,18.49,RWD,Bangalore,Mahindra TUV 300
Sedan,5,94932,2017,Diesel,1,Manual,707000,Comprehensive,1248,Maruti,5,28.4,FWD,Bangalore,Maruti Swift Dzire
Hatchback,5,75140,2016,Petrol,1,Manual,593000,Comprehensive,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Hatchback,5,88000,2011,Petrol,1,Manual,250000,Third Party,1199,Chevrolet,5,18.6,FWD,Bangalore,Chevrolet Beat
Hatchback,5,73969,2016,Petrol,1,Manual,685000,Comprehensive,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
Sedan,5,62598,2016,Petrol,1,Manual,699000,Comprehensive,1591,Hyundai,5,17.01,FWD,Bangalore,Hyundai Verna
Sedan,5,70000,2017,Petrol,2,Automatic,1200000,Third Party,1798,Toyota,7,14.28,FWD,Bangalore,Toyota Corolla Altis
Hatchback,5,24343,2021,Petrol,2,Manual,425000,Zero Dep,796,Maruti,5,22.05,FWD,Bangalore,Maruti Alto 800
Hatchback,5,110000,2014,Diesel,2,Manual,380000,Third Party,1199,Volkswagen,5,22.07,FWD,Bangalore,Volkswagen Polo
Hatchback,5,58917,2017,Petrol,2,Manual,574000,Third Party,1199,Volkswagen,5,16.2,FWD,Bangalore,Volkswagen Polo
Hatchback,5,72338,2016,Petrol,1,Manual,573000,Comprehensive,1197,Maruti,5,22.38,FWD,Bangalore,Maruti Swift
Hatchback,5,50000,2003,Diesel,1,Manual,70000,Third Party,1396,Tata,5,17.88,FWD,Bangalore,Tata Indica V2
SUV,7,110000,2015,Diesel,3,Manual,685000,Third Party,2179,Mahindra,6,16.0,FWD,Bangalore,Mahindra XUV500
Hatchback,5,41000,2012,Petrol,2,Automatic,425000,Comprehensive,1198,Honda,5,18.4,FWD,Bangalore,Honda Brio
Hatchback,5,70000,2009,Petrol,2,Automatic,265000,Third Party,1197,Hyundai,4,19.2,FWD,Bangalore,Hyundai i10
Sedan,5,25887,2019,Petrol,1,Manual,600000,Comprehensive,1298,Maruti,5,17.5,RWD,Bangalore,Maruti Swift Dzire
Sedan,5,40000,2016,Petrol,1,Manual,650000,Third Party,1497,Honda,5,17.8,FWD,Bangalore,Honda City
Hatchback,5,50000,2015,Diesel,1,Manual,430000,Third Party,1248,Maruti,5,25.2,FWD,Bangalore,Maruti Swift
Minivans,7,10000,2021,Petrol,1,Manual,530000,Third Party,1196,Maruti,5,16.11,FWD,Bangalore,Maruti Eeco
Hatchback,5,20000,2022,Petrol,1,Manual,1075000,Third Party,999,Volkswagen,6,18.24,FWD,Bangalore,Volkswagen Polo
Sedan,5,60000,2017,Petrol,2,Manual,750000,Third Party,1591,Hyundai,6,17.0,FWD,Bangalore,Hyundai Verna
Hatchback,5,64235,2017,Petrol,2,Manual,615000,Third Party,1197,Hyundai,5,18.6,FWD,Bangalore,Hyundai i20
Hatchback,5,83873,2018,Diesel,1,Manual,746000,Zero Dep,1248,Maruti,5,27.39,FWD,Bangalore,Maruti Baleno
Sedan,5,120000,2012,Diesel,2,Manual,370000,Third Party,1598,Skoda,5,20.5,FWD,Bangalore,Skoda Rapid
Sedan,5,93059,2016,Petrol,2,Manual,667000,Comprehensive,1591,Hyundai,5,17.01,FWD,Bangalore,Hyundai Verna
Hatchback,5,45681,2017,Petrol,1,Manual,634000,Zero Dep,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
Sedan,5,50000,1998,Petrol,3,Manual,40000,Third Party,970,Maruti,5,15.0,FWD,Bangalore,Maruti 1000
Hatchback,5,45938,2017,Petrol,2,Manual,579000,Comprehensive,1199,Honda,5,18.7,FWD,Bangalore,Honda Jazz
Hatchback,5,40000,2018,Petrol,1,Manual,509999,Third Party,1197,Maruti,5,21.4,FWD,Bangalore,Maruti Baleno
